exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
True,paper_335_350,MultiHI-Tabular,Ridge,0.00562456842841058,0.002531156966508325,0.004630543629267422,0.002703886071591529,0.9868359023999025,0.013260643071815927
True,paper_335_350,MultiHI-Tabular,SVR-RBF,0.008476171219741747,0.002707927234917398,0.004582554083587294,0.00139701562076464,0.972822694151005,0.017816952841261807
True,paper_335_350,MultiHI-Tabular,XGBoost,0.003002322597933981,0.0012407051206207579,0.0019792131903736835,0.0007714620595771879,0.9963975466469602,0.0024764805821826698
True,paper_335_350,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.02831122726169666,0.0022726946309424715,0.013167414192681564,0.0012741646049485367,0.716991921597829,0.05293349639611595
True,very_narrow_335_340,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.061381871925821604,0.04905898824921654,0.04209925898079231,0.03493878855930005,-0.9925730315967798,2.3486280668689075
True,very_narrow_335_340,MultiHI-DeepSequence,GRU,0.06408605553178223,0.012731763413059793,0.051840482586140345,0.01360317639531305,-0.5820600482043616,0.5767149639669574
True,very_narrow_335_340,MultiHI-DeepSequence,LSTM,0.0391730490385135,0.021661308009560884,0.027715542813529098,0.008090390251338477,0.2846523296904496,0.8352081697257274
True,very_narrow_335_340,MultiHI-DeepSequence,TCN,0.06096550963138377,0.028814735905513887,0.0487479092321337,0.023712165199078802,-0.6732695000945728,1.4973400233706065
True,very_narrow_335_340,MultiHI-DeepSequence,TransformerEncoder,0.03849742386359491,0.042378428183082226,0.021132525726827195,0.013753508357647907,-0.10286173230635103,2.1207803163327332
True,very_narrow_335_340,MultiHI-Tabular,CatBoost,0.00488032203847803,0.0013952068211758133,0.0033962971349034616,0.0012503502194466058,0.9910125188440801,0.005480624079035637
True,very_narrow_335_340,MultiHI-Tabular,ElasticNet,0.006807646358562461,0.0038334274336060924,0.004459914022927832,0.0017875327371147398,0.9793449080698547,0.022735232632275722
True,very_narrow_335_340,MultiHI-Tabular,ExtraTrees,0.002600899124039706,0.0012512816246122692,0.0016993310587001126,0.0007056276905766946,0.9971931704385073,0.0024451541329642166
True,very_narrow_335_340,MultiHI-Tabular,HistGB,0.004866355332768564,0.0006205861883237264,0.0027417043149143712,0.0006091534771376782,0.9915674991974747,0.0023086146449023673
True,very_narrow_335_340,MultiHI-Tabular,KNN,0.01325987586535326,0.005282098116498982,0.009199046725598663,0.002329427776015808,0.9304619565414264,0.060728963320906146
