experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,HistGB,False,13,0.0039559312684312314,0.002139816571676133,0.9945940219479127
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,HistGB,False,13,0.004997384386929623,0.002328360541220159,0.9911531683689778
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,HistGB,False,13,0.005665255619980708,0.003508982129133484,0.9881893264504135
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,XGBoost,False,13,0.004487587159078803,0.0027258365673429943,0.9932780573954976
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,XGBoost,False,13,0.0029595019040682016,0.002397332402477355,0.9969432243880252
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,XGBoost,False,13,0.0012583845596354454,0.000864318957998776,0.999452979546752
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,XGBoost,False,13,0.0024702291199831835,0.001418899026995592,0.9978383930656975
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,XGBoost,False,13,0.005382451776298657,0.003495874529136381,0.9893390491768955
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,LightGBM,False,13,0.004755722622397336,0.0030908785925573977,0.9924507807349416
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,LightGBM,False,13,0.005264139738738348,0.0031493633724555556,0.9903287829356624
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,LightGBM,False,13,0.003943358841501968,0.0021582205135699203,0.9946283290462631
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,LightGBM,False,13,0.005595386443033533,0.0028301408942127577,0.9889092115024616
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,LightGBM,False,13,0.005774761298094133,0.0037748777657939624,0.9877283285465405
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,CatBoost,False,13,0.004927151720114244,0.0032859173311632,0.9918967194028089
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,CatBoost,False,13,0.003916869687831306,0.003190236654223713,0.9946456771000167
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,CatBoost,False,13,0.003349975446825328,0.002197597274720694,0.9961233191297115
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,CatBoost,False,13,0.005231973865895324,0.002809591960349997,0.9903030895989003
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,CatBoost,False,13,0.006975639471723947,0.005498142454059701,0.982093788988963
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell51,Ridge,False,46,0.0025020742030922027,0.0020710870515585717,0.9979103700841963
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell52,Ridge,False,46,0.004516029343999225,0.003835388066236255,0.9928822976485967
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell53,Ridge,False,46,0.0023801706853404316,0.0018614418683712544,0.9980429901688073
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell54,Ridge,False,46,0.011763519516497015,0.0042691962651635615,0.9509796051052067
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell55,Ridge,False,46,0.008241777470370491,0.00781405349203118,0.9750036029969108
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell51,ExtraTrees,False,46,0.002781163556545707,0.0017630759862793408,0.9974182031510572
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell52,ExtraTrees,False,46,0.002666493979886624,0.0020160905835283644,0.9975185385808583
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell53,ExtraTrees,False,46,0.0016794409302625778,0.001077927901829266,0.9990256695622705
StructuredWindowAblation,pmax_features_missing,"All windows are available, but pmax, pmax_voltage, and pmax_norm features are removed.",Cell54,ExtraTrees,False,46,0.001782755544097666,0.0012184937878885653,0.9988741362342922
